year,party_ep,party_k,party_rv,party_s,party_v,total_valid,electorate,party_sp,party_dkp,party_rfb,party_ssp,party_n,party_ff,party_bp,party_ds,party_ns,party_ufp
1920,29464,201499,122160,300345,350563,1024386,1274377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,242955,166476,469949,362682,1282937,1637564,7715,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,275793,150931,497106,378137,1337650,1742604,10422,5678,17463,2117,NA,NA,NA,NA,NA,NA
1929,NA,233935,151746,593191,402121,1420246,1786092,9787,3656,25810,NA,NA,NA,NA,NA,NA,NA
1932,NA,289531,145220,660839,381862,1547082,1902835,9868,17179,41238,NA,NA,NA,NA,NA,NA,NA
1935,NA,293393,151507,759102,292247,1646438,2044997,12617,27135,41199,NA,16257,52793,NA,NA,NA,NA
1939,NA,301625,161834,723619,309255,1699889,2159356,15016,40893,33783,NA,31032,NA,50823,8553,17350,NA
1943,NA,421523,175179,894632,376850,2010783,2280716,NA,NA,31323,NA,43309,NA,24572,43367,NA,NA
1945,NA,373688,167073,671755,479158,2104129,2381983,NA,255236,38459,NA,NA,NA,NA,63760,NA,NA
1947,NA,259324,144206,834089,574895,2084141,2435306,NA,141094,94570,NA,NA,NA,NA,24724,NA,11239
1950,NA,365236,167969,813224,438188,2054330,2516118,NA,94523,168784,NA,NA,NA,NA,NA,NA,6406
